timestamp,message
1764677552367,>>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status
1764677552367,"2025-12-02 12:12:32,367 - main.api.app - INFO - >>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status"
1764677552368,"2025-12-02 12:12:32,368 - main.api.dependencies - WARNING - JWT missing 'email' claim for user user_35KgiAcvIC0tdtFvJUN1vDkrNYc - will fetch from Clerk API if needed"
1764677552368,<<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status -> 200
1764677552369,"2025-12-02 12:12:32,368 - main.api.app - INFO - <<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status -> 200"
1764677552750,"   ⏱️  Research & Regulatory Updates: 70s elapsed, 230s remaining..."
1764677554366,>>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0
1764677554366,"2025-12-02 12:12:34,366 - main.api.app - INFO - >>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0"
1764677554367,"2025-12-02 12:12:34,367 - src.adapters.local_adapter - INFO - LocalStorageAdapter initialized: base_path=/app/output"
1764677554368,"2025-12-02 12:12:34,368 - main.api.dependencies - WARNING - JWT missing 'email' claim for user user_35KgiAcvIC0tdtFvJUN1vDkrNYc - will fetch from Clerk API if needed"
1764677554368,<<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0 -> 200
1764677554368,"2025-12-02 12:12:34,368 - main.api.app - INFO - <<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0 -> 200"
1764677554751,"   ⏱️  Research & Regulatory Updates: 72s elapsed, 228s remaining..."
1764677556358,>>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0
1764677556358,"2025-12-02 12:12:36,358 - main.api.app - INFO - >>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0"
1764677556359,"2025-12-02 12:12:36,359 - src.adapters.local_adapter - INFO - LocalStorageAdapter initialized: base_path=/app/output"
1764677556359,"2025-12-02 12:12:36,359 - main.api.dependencies - WARNING - JWT missing 'email' claim for user user_35KgiAcvIC0tdtFvJUN1vDkrNYc - will fetch from Clerk API if needed"
1764677556360,<<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0 -> 200
1764677556360,"2025-12-02 12:12:36,360 - main.api.app - INFO - <<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0 -> 200"
1764677556752,"   ⏱️  Research & Regulatory Updates: 74s elapsed, 226s remaining..."
1764677557284,>>> INCOMING: GET http://localhost:8080/health
1764677557284,"2025-12-02 12:12:37,284 - main.api.app - INFO - >>> INCOMING: GET http://localhost:8080/health"
1764677557284,<<< RESPONSE: GET http://localhost:8080/health -> 200
1764677557284,"2025-12-02 12:12:37,284 - main.api.app - INFO - <<< RESPONSE: GET http://localhost:8080/health -> 200"
1764677557347,>>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status
1764677557347,"2025-12-02 12:12:37,347 - main.api.app - INFO - >>> INCOMING: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status"
1764677557348,"2025-12-02 12:12:37,348 - main.api.dependencies - WARNING - JWT missing 'email' claim for user user_35KgiAcvIC0tdtFvJUN1vDkrNYc - will fetch from Clerk API if needed"
1764677557348,<<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status -> 200
1764677557349,"2025-12-02 12:12:37,348 - main.api.app - INFO - <<< RESPONSE: GET http://d2yiysdqio0ryi.cloudfront.net/jobs/3923a600-4208-4f83-a2b5-7d89cdd213d0/approval-status -> 200"
1764677557958,"2025-12-02 12:12:37,958 - src.agents.parallel.regulatory_data_sources.audit - INFO - Regulatory data access: FDA_API_20251202_121237_fbc95e46 - Source: FDA_API, Success: True"
1764677557958,"2025-12-02 12:12:37,958 - src.agents.parallel.research_agent - WARNING - EMA integration not yet implemented - skipping EMA queries"
1764677557958,"2025-12-02 12:12:37,958 - src.agents.parallel.research_agent - WARNING - ICH integration not yet implemented - skipping ICH queries"
1764677557958,"2025-12-02 12:12:37,958 - src.agents.parallel.research_agent - INFO - [HEARTBEAT] Completed regulatory updates research: 6 updates found"
1764677557959,"2025-12-02 12:12:37,958 - src.agents.parallel.research_agent - INFO - [HEARTBEAT] Starting best practices research"
1764677557959,"2025-12-02 12:12:37,959 - src.agents.parallel.research_agent - INFO - [HEARTBEAT] Completed best practices research: 2 practices found"
1764677557959,"2025-12-02 12:12:37,959 - src.agents.parallel.research_agent - INFO - [HEARTBEAT] Starting industry trends research"
1764677557959,"2025-12-02 12:12:37,959 - src.agents.parallel.research_agent - INFO - [HEARTBEAT] Completed industry trends research: 4 trends found"
1764677557962,✅ Research & Regulatory Updates completed successfully in 75.2s
1764677557962,"2025-12-02 12:12:37,962 - main.src.core.unified_workflow - INFO - [AGENT] research agent completed successfully in 75.22s (timeout was 300.0s)"
1764677557971,"2025-12-02 12:12:37,971 - main.src.core.unified_workflow - INFO - [PARALLEL] Emitting agent request 3/3"
1764677557973,"2025-12-02 12:12:37,973 - main.src.core.unified_workflow - INFO - [AGENT] Executing sme agent request"
1764677557973,"2025-12-02 12:12:37,973 - main.src.core.unified_workflow - INFO - [AGENT] Starting sme agent with 300.0s timeout"
1764677557976,🔄 SME Analysis for sme agent starting (timeout: 300.0s)...
1764677562007,"2025-12-02 12:12:42,007 - src.llms.openrouter_compat - WARNING - [OPENROUTER_COMPLETE] Cost calculation skipped: Unknown model for pricing: 'google/gemini-2.5-flash-lite'. NO FALLBACK ALLOWED - Add model to OPENROUTER_PRICING dict in cost_tracker.py. Available models: ['deepseek/deepseek-chat', 'deepseek/deepseek-chat-v3', 'deepseek/deepseek-chat-v3.1', 'deepseek/deepseek-coder']"
1764677562008,"2025-12-02 12:12:42,008 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] compliance_assessment - Response length: 4313"
1764677562009,"2025-12-02 12:12:42,008 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] compliance_assessment - Response preview (first 500 chars): ```json"
1764677562009,{
1764677562009,"    ""level"": ""high"","
1764677562009,"    ""applicable_standards"": ["
1764677562009,"        ""21 CFR Part 11"","
1764677562009,"        ""ICH Q7"","
1764677562009,"        ""ICH Q9"","
1764677562009,"        ""ICH Q10"","
1764677562009,"        ""GAMP 5 (specifically guidance for Category 3 systems)"""
1764677562009,"    ],"
1764677562009,"    ""compliance_gaps"": ["
1764677562009,        {
1764677562009,"            ""gap"": ""GAMP Category is unknown, which is a critical piece of information for tailoring validation efforts. Without knowing the category, the appropriate level of validation rigor and documentation cannot be definitively determined."","
1764677562009,    ...
1764677562009,"2025-12-02 12:12:42,008 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] compliance_assessment - Format analysis:"
1764677562009,"2025-12-02 12:12:42,009 - src.agents.parallel.sme_agent - INFO -   - Has markdown blocks: True"
1764677562009,"2025-12-02 12:12:42,009 - src.agents.parallel.sme_agent - INFO -   - Has JSON start chars: True"
1764677562009,"2025-12-02 12:12:42,009 - src.agents.parallel.sme_agent - INFO -   - Has JSON end chars: True"
1764677562009,"2025-12-02 12:12:42,009 - src.agents.parallel.sme_agent - INFO -   - Starts with JSON: False"
1764677562009,"2025-12-02 12:12:42,009 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] compliance_assessment - Response ending (last 200 chars): ...or personnel involved in system operation and validation."","
1764677562009,"        ""Audit trail review procedures."","
1764677562009,"        ""Disaster recovery and business continuity plans."""
1764677562009,"    ],"
1764677562009,"    ""certainty_score"": 0.2"
1764677562009,}
1764677562009,```
1764677568318,"2025-12-02 12:12:48,317 - src.llms.openrouter_compat - WARNING - [OPENROUTER_COMPLETE] Cost calculation skipped: Unknown model for pricing: 'google/gemini-2.5-flash-lite'. NO FALLBACK ALLOWED - Add model to OPENROUTER_PRICING dict in cost_tracker.py. Available models: ['deepseek/deepseek-chat', 'deepseek/deepseek-chat-v3', 'deepseek/deepseek-chat-v3.1', 'deepseek/deepseek-coder']"
1764677574442,"2025-12-02 12:12:54,442 - src.llms.openrouter_compat - WARNING - [OPENROUTER_COMPLETE] Cost calculation skipped: Unknown model for pricing: 'google/gemini-2.5-flash-lite'. NO FALLBACK ALLOWED - Add model to OPENROUTER_PRICING dict in cost_tracker.py. Available models: ['deepseek/deepseek-chat', 'deepseek/deepseek-chat-v3', 'deepseek/deepseek-chat-v3.1', 'deepseek/deepseek-coder']"
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] recommendations_generation - Response length: 8174"
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] recommendations_generation - Response preview (first 500 chars): ```json"
1764677574444,[
1764677574444,    {
1764677574444,"        ""category"": ""GAMP Category Determination"","
1764677574444,"        ""priority"": ""critical"","
1764677574444,"        ""recommendation"": ""Immediately conduct a formal assessment to definitively determine the GAMP Category of the system. This assessment should be documented and based on the system's complexity, intended use, and the level of direct impact on product quality and patient safety, referencing GAMP 5 guidelines."","
1764677574444,"        ""rationale"": ""The 'GAMP Category: unknown' is a critical compliance gap and..."
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] recommendations_generation - Format analysis:"
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO -   - Has markdown blocks: True"
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO -   - Has JSON start chars: True"
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO -   - Has JSON end chars: True"
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO -   - Starts with JSON: False"
1764677574444,"2025-12-02 12:12:54,444 - src.agents.parallel.sme_agent - INFO - [LLM DEBUG] recommendations_generation - Response ending (last 200 chars): ...acts the ongoing validation status and compliance of the system."","
1764677574444,"        ""implementation_effort"": ""medium"","
1764677574444,"        ""expected_benefit"": ""Operational Consistency & Compliance Maintenance"""
1764677574444,    }
1764677574444,]
1764677574444,```
1764677574448,"2025-12-02 12:12:54,448 - src.agents.parallel.sme_agent - ERROR - SME Agent error: SME analysis failed: CRITICAL: Recommendations generation LLM call failed."
1764677574448,Error: CRITICAL: LLM recommendations generation failed to return valid JSON.
1764677574448,Parse Error: Recommendation 6 missing required field: recommendation
1764677574448,LLM Response: ```json
1764677574448,[
1764677574448,    {
1764677574448,"        ""category"": ""GAMP Category Determination"","
1764677574448,"        ""priority"": ""critical"","
1764677574448,"        ""recommendation"": ""Immediately conduct a formal assessment to definitively determine the GAMP Category of the system. This assessment should be documented and based on the system's complexity, intended use, and the level of direct impact on product quality and patient safety, referencing GAMP 5 guidelines."","
1764677574448,"        ""rationale"": ""The 'GAMP Category: unknown' is a critical compliance gap and a high-impact risk. Without this determination, the validation strategy, rigor, and documentation cannot be appropriately tailored, leading to potential under- or over-validation and regulatory non-compliance."","
1764677574448,"        ""implementation_effort"": ""medium"","
1764677574448,"        ""expected_benefit"": ""Compliance Assurance"""
1764677574448,"    },"
1764677574448,    {
